深入理解Java虚拟机（第2版）, 8.9 ,743,Chas Emerick, 机械工业出版社, 2013-9-1, 79.00元
啊哈C！思考快你一步, 8.1 ,120,啊哈磊, 电子工业出版社, 2013-9, 39.00元
自制编程语言, 8.0 ,92,［日］ 前桥和弥, 人民邮电出版社, 2013-11, 79.00
JavaScript编程全解, 8.5 ,45,［日］井上诚一郎, 人民邮电出版社, 2013-12, 79.00
游戏引擎架构, 9.0 ,234,[美] Jason Gregory (杰森.格雷戈瑞), 电子工业出版社, 2014-1, 128.00元
深入理解C指针, 8.5 ,59,[美] Richard Reese, 人民邮电出版社, 2014-2, 45.00
Java性能优化权威指南, 8.4 ,128,Charlie Hunt, 人民邮电出版社, 2014-3, 109.00 元
Effective Objective-C 2.0, 8.6 ,210,Matt Galloway, 机械工业出版社, 2014-1, 69.00元
Android编程权威指南, 8.5 ,203,[美] Bill Phillips, 人民邮电出版社, 2014-4, CNY 99.00元
逆向工程核心原理, 9.2 ,39,[韩] 李承远, 人民邮电出版社, 2014-4-25, 109.00元
程序员的修炼, 7.4 ,56,Jeff Atwood, 人民邮电出版社, 2014-4, 45.00元
程序员的呐喊, 8.0 ,332,[美]Steve Yegge, 人民邮电出版社, 2014-5-1, 45.00元
The Swift Programming Language, 8.4 ,177,Apple Inc., 电子工业出版社, 2014-6-2, 128.00元
元素模式, 8.0 ,31,Jason McC. Smith, 电子工业出版社, 2014-7-1, 69.00元
Linux就是这个范儿, 7.1 ,86,[中] 赵鑫磊, 人民邮电出版社, 2014-7, 95.00元
Effective Modern C++, 9.4 ,150,啊哈磊, O&#39;Reilly Media, 2014-12, USD 49.99
构建之法, 8.7 ,388,Chas Emerick, 人民邮电出版社, 2014-9, 49.00元
Game Programming Patterns, 9.5 ,62,Robert Nystrom, Genever Benning, 2014-11-2, USD 39.95
写给大忙人看的Java SE 8, 8.2 ,79,【美】Cay S. Horstmann（凯.S.霍斯曼） 编, 电子工业出版社, 2014-11, 59.00元
The iOS Apprentice, 9.5 ,33,Matthijs Hollemans, Razeware LLC, 2014-12-15, USD 54.00
iOS编程（第4版）, 8.7 ,149,[美] Christian Keur, 华中科技大学出版社, 2015-1-1, 99.90
The Go Programming Language, 9.1 ,134,Brian W. Kernighan, Addison-Wesley Professional, 2015-11-23, $37.3
Java 8函数式编程, 8.0 ,124,[英] Richard Warburton, 人民邮电出版社, 2015-3, 39.00元
你不知道的JavaScript（上卷）, 9.4 ,391,[美] Kyle Simpson, 人民邮电出版社, 2015-4, 49.00元
算法的乐趣, 7.6 ,68,王晓华, 人民邮电出版社, 2015-4, 79.00元
JavaScript面向对象精要, 9.0 ,71,Jason McC. Smith, 人民邮电出版社, 2015-4, 39.00
The Effective Engineer, 9.0 ,37,Edmond Lau, The Effective Bookshelf, Palo Alto, CA., 2015-3-19, USD 39.00
GitHub入门与实践, 7.9 ,240,[日] 大塚弘记, 人民邮电出版社, 2015-7, 39.00元
函数式编程思维, 7.5 ,87,Jeff Atwood, 人民邮电出版社, 2015-8, 49.00元
Android开发艺术探索, 8.2 ,175,任玉刚, 电子工业出版社, 2015-9-1, CNY 79.00
Modern PHP（中文版）, 8.9 ,74,Josh Lockhart, 中国电力出版社, 2015-9, 39
Android 源码设计模式解析与实战, 8.7 ,67,何红辉, 人民邮电出版社, 2015-11, 79.00元
App研发录：架构设计、Crash分析和竞品技术分析, 8.2 ,115,包建强, 机械工业出版社, 2015-10-21, CNY 59.00
python绝技：运用python成为顶级黑客, 7.6 ,39,[美] TJ O&#39;Connor, 电子工业出版社, 2016-1, 79.00元
Effective Python, 8.8 ,95,布雷特·斯拉特金（Brett Slatkin）, 机械工业出版社, 2016-1, 59
Python编程：从入门到实践, 9.0 ,348,[美]埃里克·马瑟斯, 人民邮电出版社, 2016-7-1, CNY 89.00
Go语言学习笔记, 8.4 ,72,雨痕, 电子工业出版社, 2016-6, 89
Python Web开发实战, 7.5 ,126,[美] Kyle Simpson, 电子工业出版社, 2016-9-15, 105
Java 8函数式编程, 8.0 ,124,[英] Richard Warburton, 人民邮电出版社, 2015-3, 39.00元
The Go Programming Language, 9.1 ,134,Brian W. Kernighan, Addison-Wesley Professional, 2015-11-23, $37.3
iOS编程（第4版）, 8.7 ,149,[美] Christian Keur, 华中科技大学出版社, 2015-1-1, 99.90
The iOS Apprentice, 9.5 ,33,Matthijs Hollemans, Razeware LLC, 2014-12-15, USD 54.00
iOS编程（第4版）, 8.7 ,149,[美] Christian Keur, 华中科技大学出版社, 2015-1-1, 99.90
The Go Programming Language, 9.1 ,134,Brian W. Kernighan, Addison-Wesley Professional, 2015-11-23, $37.3
Java 8函数式编程, 8.0 ,124,[英] Richard Warburton, 人民邮电出版社, 2015-3, 39.00元
Python Web开发实战, 7.5 ,126,[美] Kyle Simpson, 电子工业出版社, 2016-9-15, 105
Go语言学习笔记, 8.4 ,72,雨痕, 电子工业出版社, 2016-6, 89
Python编程：从入门到实践, 9.0 ,348,[美]埃里克·马瑟斯, 人民邮电出版社, 2016-7-1, CNY 89.00
Effective Python, 8.8 ,95,布雷特·斯拉特金（Brett Slatkin）, 机械工业出版社, 2016-1, 59
python绝技：运用python成为顶级黑客, 7.6 ,39,[美] TJ O&#39;Connor, 电子工业出版社, 2016-1, 79.00元
App研发录：架构设计、Crash分析和竞品技术分析, 8.2 ,115,包建强, 机械工业出版社, 2015-10-21, CNY 59.00
Android 源码设计模式解析与实战, 8.7 ,67,何红辉, 人民邮电出版社, 2015-11, 79.00元
Modern PHP（中文版）, 8.9 ,74,Josh Lockhart, 中国电力出版社, 2015-9, 39
Android 源码设计模式解析与实战, 8.7 ,67,何红辉, 人民邮电出版社, 2015-11, 79.00元
App研发录：架构设计、Crash分析和竞品技术分析, 8.2 ,115,包建强, 机械工业出版社, 2015-10-21, CNY 59.00
python绝技：运用python成为顶级黑客, 7.6 ,39,[美] TJ O&#39;Connor, 电子工业出版社, 2016-1, 79.00元
Effective Python, 8.8 ,95,布雷特·斯拉特金（Brett Slatkin）, 机械工业出版社, 2016-1, 59
Python编程：从入门到实践, 9.0 ,348,[美]埃里克·马瑟斯, 人民邮电出版社, 2016-7-1, CNY 89.00
Go语言学习笔记, 8.4 ,72,雨痕, 电子工业出版社, 2016-6, 89
Python Web开发实战, 7.5 ,126,[美] Kyle Simpson, 电子工业出版社, 2016-9-15, 105
Java 8函数式编程, 8.0 ,124,[英] Richard Warburton, 人民邮电出版社, 2015-3, 39.00元
